topic,language,author,title,description,square_tolerance,square_line_width
general,es,io_exception,FYI,"es un acrónimo para ""para tu información"" en español; usado en emails para indicar que un correo es simplemente informativo y no requiere respuesta"
general,es,io_exception,CLI,
general,en,io_exception,CLI,
general,es,io_exception,YAGNI,
general,en,io_exception,YAGNI,
general,es,io_exception,Monad,
general,en,io_exception,Monad,
general,es,io_exception,LAMP,
general,en,io_exception,LAMP,
general,es,io_exception,MEAN,
general,en,io_exception,MEAN,
general,es,io_exception,WYSIWYG,
general,en,io_exception,WYSIWYG,
general,es,io_exception,Currying,
general,en,io_exception,Currying,
general,es,io_exception,Lazy evaluation,
general,en,io_exception,Lazy evaluation,
general,es,io_exception,Feature-flags,
general,en,io_exception,Feature-flags,
general,es,io_exception,Short-circuit evaluation,
general,en,io_exception,Short-circuit evaluation,
general,es,io_exception,Funarg problem,
general,en,io_exception,Funarg problem,
general,es,io_exception,TDD,
general,en,io_exception,TDD,
general,es,io_exception,Feature creep,
general,en,io_exception,Feature creep,
general,es,io_exception,Bare metal,
general,en,io_exception,Bare metal,
general,es,io_exception,Bike shedding,
general,en,io_exception,Bike shedding,
general,es,io_exception,Yak shaving,
general,en,io_exception,Yak shaving,
general,es,io_exception,Git gud,
general,en,io_exception,Git gud,
general,es,io_exception,red herring,
general,en,io_exception,red herring,
general,es,io_exception,Jackknifing,
general,en,io_exception,Jackknifing,
general,es,io_exception,Bottleneck,
general,en,io_exception,Bottleneck,
general,es,io_exception,Lossy,
general,en,io_exception,Lossy,
general,,io_exception,Lambda,
general,,io_exception,Lambda,
general,,io_exception,Grok,
general,,io_exception,Grok,
general,,io_exception,Agnostic,
general,,io_exception,Agnostic,
general,,io_exception,Batteries Included,
general,,io_exception,Batteries Included,s